Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
"2023-24","Spring","MGT","2946","Small Unit Ldrshp for Cadets","Sheets","4","100","0","0","0","0","0","0","0","0","0","0","0","0","13","17915","  1"
"2023-24","Spring","IDS","3234","TS: Advanced Manufacturing","King","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","16621","  1"
"2023-24","Spring","AOE","2994","Undergraduate Research","Artis","4","100","0","0","0","0","0","0","0","0","0","0","0","0","9","10403","  1"
"2023-24","Spring","CHEM","4994","Undergraduate Research","Quan","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","12998","  1"
"2023-24","Spring","HD","4994","Undergraduate Research","Choi","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","16318","  1"
"2023-24","Spring","ISE","4994","Undergraduate Research","Lau","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","16781","  1"
"2023-24","Spring","MUS","3046","Advanced Ear Training","Knoeckel","3.56","28.6","35.7","14.3","14.3","7.1","0","0","0","0","0","0","0","0","14","18348","  1"
"2023-24","Spring","ALCE","3494","Advanced Welding Technology","Mariger","4","100","0","0","0","0","0","0","0","0","0","0","0","0","14","10273","  1"
"2023-24","Spring","BIOL","3104","Cell Molecular Biol Laboratory","Voshell","3.79","92.9","0","0","0","0","0","0","0","0","7.1","0","0","0","14","11749","  1"
"2023-24","Spring","ESM","2074","Computational Methods","Perez","3.96","85.7","14.3","0","0","0","0","0","0","0","0","0","0","0","7","15375","  2"
"2023-24","Spring","ESM","2074","Computational Methods","Perez","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","21870","  2"
"2023-24","Spring","PSYC","4234","Develop Psyc Lab","Ermanni","3.84","92.9","0","0","0","0","0","0","7.1","0","0","0","0","0","14","19541","  1"
"2023-24","Spring","GEOS","1124","Earth Res, Society & Env Lab","Chermak","3.15","21.4","7.1","50","7.1","0","7.1","0","0","0","0","0","7.1","1","14","16087","  1"
